issuer,card_name,segment,joining_fee_inr,annual_fee_inr,fee_waiver_condition,best_for,reward_structure_summary,lounge_access,forex_markup_pct,notes_source,variant_id,card_code,synthetic_flag
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Extra miles on travel portals,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_009,SBI_SimplyCLIC_009,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus points on utility bills,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_010,SBI_SimplyCLIC_010,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_011,SBI_SimplyCLIC_011,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Extra miles on travel portals,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_012,SBI_SimplyCLIC_012,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus on grocery spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_013,SBI_SimplyCLIC_013,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Enhanced cashback weekends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_014,SBI_SimplyCLIC_014,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_015,SBI_SimplyCLIC_015,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,700.0,700.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus points on utility bills,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_016,SBI_SimplyCLIC_016,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Enhanced cashback weekends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_017,SBI_SimplyCLIC_017,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_018,SBI_SimplyCLIC_018,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Extra miles on travel portals,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_019,SBI_SimplyCLIC_019,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_020,SBI_SimplyCLIC_020,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus on grocery spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_021,SBI_SimplyCLIC_021,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus points on utility bills,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_022,SBI_SimplyCLIC_022,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_023,SBI_SimplyCLIC_023,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Extra miles on travel portals,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_024,SBI_SimplyCLIC_024,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Enhanced cashback weekends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_025,SBI_SimplyCLIC_025,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Extra miles on travel portals,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_026,SBI_SimplyCLIC_026,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus points on utility bills,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_027,SBI_SimplyCLIC_027,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Extra miles on travel portals,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_028,SBI_SimplyCLIC_028,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_029,SBI_SimplyCLIC_029,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus on grocery spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_030,SBI_SimplyCLIC_030,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus points on utility bills,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_031,SBI_SimplyCLIC_031,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus on grocery spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_032,SBI_SimplyCLIC_032,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Enhanced cashback weekends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_033,SBI_SimplyCLIC_033,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_034,SBI_SimplyCLIC_034,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Enhanced cashback weekends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_035,SBI_SimplyCLIC_035,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Enhanced cashback weekends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_036,SBI_SimplyCLIC_036,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus on grocery spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_037,SBI_SimplyCLIC_037,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Enhanced cashback weekends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_038,SBI_SimplyCLIC_038,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_039,SBI_SimplyCLIC_039,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_040,SBI_SimplyCLIC_040,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Enhanced cashback weekends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_041,SBI_SimplyCLIC_041,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Extra miles on travel portals,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_042,SBI_SimplyCLIC_042,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Extra miles on travel portals,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_043,SBI_SimplyCLIC_043,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Enhanced cashback weekends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_044,SBI_SimplyCLIC_044,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Enhanced cashback weekends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_045,SBI_SimplyCLIC_045,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus on grocery spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_046,SBI_SimplyCLIC_046,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus points on utility bills,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_047,SBI_SimplyCLIC_047,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus on grocery spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_048,SBI_SimplyCLIC_048,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_049,SBI_SimplyCLIC_049,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus on grocery spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_050,SBI_SimplyCLIC_050,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus points on utility bills,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_051,SBI_SimplyCLIC_051,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus on grocery spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_052,SBI_SimplyCLIC_052,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Extra miles on travel portals,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_053,SBI_SimplyCLIC_053,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Enhanced cashback weekends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_054,SBI_SimplyCLIC_054,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Extra miles on travel portals,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_055,SBI_SimplyCLIC_055,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus points on utility bills,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_056,SBI_SimplyCLIC_056,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_057,SBI_SimplyCLIC_057,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_058,SBI_SimplyCLIC_058,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Enhanced cashback weekends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_059,SBI_SimplyCLIC_059,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_060,SBI_SimplyCLIC_060,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Extra miles on travel portals,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_061,SBI_SimplyCLIC_061,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Enhanced cashback weekends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_062,SBI_SimplyCLIC_062,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus on grocery spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_063,SBI_SimplyCLIC_063,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus on grocery spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_064,SBI_SimplyCLIC_064,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus points on utility bills,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_065,SBI_SimplyCLIC_065,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_066,SBI_SimplyCLIC_066,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,700.0,700.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus on grocery spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_067,SBI_SimplyCLIC_067,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus points on utility bills,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_068,SBI_SimplyCLIC_068,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Enhanced cashback weekends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_069,SBI_SimplyCLIC_069,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus points on utility bills,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_070,SBI_SimplyCLIC_070,True
